p1,cwr1,owr1,p2,cwr2,owr2,p3,cwr3,owr3,p4,cwr4,owr4,p5,cwr5,owr5,p6,cwr6,owr6,p7,cwr7,owr7,p8,cwr8,owr8,p9,cwr9,owr9,p10,cwr10,owr10,w
Malzahar,59,56,Shen,0,64,Lux,33,42,Kalista,0,52,Pyke,60,51,Trundle,71,52,Sett,61,49,Morgana,48,50,Miss Fortune,64,52,Nautilus,0,50,0
Malzahar,59,56,Shen,0,64,Lux,33,42,Kalista,0,52,Pyke,60,51,Trundle,71,52,Sett,61,49,Morgana,48,50,Miss Fortune,64,52,Nautilus,0,50,0
Rengar,52,50,Sett,43,52,Rumble,83,51,Draven,54,52,Leona,48,47,Fiora,0,53,Udyr,62,61,Lissandra,54,47,Ezreal,0,50,Taric,0,51,1
Rengar,52,50,Sett,43,52,Rumble,83,51,Draven,54,52,Leona,48,47,Fiora,0,53,Udyr,62,61,Lissandra,54,47,Ezreal,0,50,Taric,0,51,0
Rengar,52,50,Sett,43,52,Rumble,83,51,Draven,54,52,Leona,48,47,Fiora,0,53,Udyr,62,61,Lissandra,54,47,Ezreal,0,50,Taric,0,51,0
Rengar,52,50,Sett,43,52,Rumble,83,51,Draven,54,52,Leona,48,47,Fiora,0,53,Udyr,62,61,Lissandra,54,47,Ezreal,0,50,Taric,0,51,0
Rengar,52,50,Sett,43,52,Rumble,83,51,Draven,54,52,Leona,48,47,Fiora,0,53,Udyr,62,61,Lissandra,54,47,Ezreal,0,50,Taric,0,51,0
Rengar,52,50,Sett,43,52,Rumble,83,51,Draven,54,52,Leona,48,47,Fiora,0,53,Udyr,62,61,Lissandra,54,47,Ezreal,0,50,Taric,0,51,0
Rengar,52,50,Sett,43,52,Rumble,83,51,Draven,54,52,Leona,48,47,Fiora,0,53,Udyr,62,61,Lissandra,54,47,Ezreal,0,50,Taric,0,51,0
Rengar,52,50,Sett,43,52,Rumble,83,51,Draven,54,52,Leona,48,47,Fiora,0,53,Udyr,61,60,Lissandra,54,47,Ezreal,0,50,Taric,0,51,1
Rengar,52,50,Sett,43,52,Rumble,83,51,Draven,54,52,Leona,48,47,Fiora,0,53,Udyr,61,60,Lissandra,54,47,Ezreal,0,50,Taric,0,51,1
Rengar,52,50,Sett,43,52,Rumble,83,51,Draven,54,52,Leona,48,47,Fiora,0,53,Udyr,61,60,Lissandra,54,47,Ezreal,0,50,Taric,0,51,1
Teemo,86,0,Warwick,67,0,Xerath,50,57,Ezreal,0,53,Yuumi,41,69,Vayne,53,55,Kayn,0,45,Anivia,72,49,Miss Fortune,28,57,Blitzcrank,0,70,1
Zoe,59,50,Olaf,0,0,Malzahar,63,62,Lucian,33,61,Thresh,53,53,Teemo,88,0,Riven,49,45,Heimerdinger,58,44,Jhin,67,48,Yuumi,15,44,1
Zoe,59,50,Olaf,0,0,Malzahar,63,62,Lucian,33,61,Thresh,53,53,Teemo,88,0,Riven,49,45,Heimerdinger,58,44,Jhin,67,48,Yuumi,15,44,1
